store_id,product_id,category,region,current_inventory,mean_daily_demand,safety_stock,rop,eoq,days_of_stock,status,units_to_order
S001,P0001,Toys,East,223,166.54305555555555,182.7,349.24,719.42,1.3,STOCKOUT_RISK,846.0
S001,P0001,Toys,East,223,158.43269230769232,179.41,337.84,659.83,1.4,STOCKOUT_RISK,775.0
S001,P0001,Toys,East,223,137.8618918918919,177.01,314.87,621.87,1.6,STOCKOUT_RISK,714.0
S001,P0001,Toys,East,223,141.66590909090908,185.43,327.1,647.54,1.6,STOCKOUT_RISK,752.0
S001,P0001,Toys,East,223,134.02967741935484,172.73,306.76,582.65,1.7,STOCKOUT_RISK,666.0
S001,P0001,Toys,East,223,100.25696969696969,105.06,205.32,522.62,2.2,OPTIMAL,0.0
S001,P0001,Toys,East,223,137.43310344827586,191.7,329.13,597.24,1.6,STOCKOUT_RISK,703.0
S001,P0001,Toys,East,223,143.8463888888889,186.16,330.01,588.76,1.6,STOCKOUT_RISK,696.0
S001,P0001,Toys,East,223,161.84641025641025,211.77,373.62,646.28,1.4,STOCKOUT_RISK,797.0
S001,P0001,Toys,East,223,127.83756756756756,148.02,275.86,564.64,1.7,STOCKOUT_RISK,618.0
S001,P0001,Toys,East,223,126.155,166.35,292.5,577.03,1.8,STOCKOUT_RISK,647.0
S001,P0001,Toys,East,223,122.5207894736842,139.29,261.81,554.85,1.8,STOCKOUT_RISK,594.0
S001,P0001,Toys,East,223,169.5031707317073,187.87,357.37,666.93,1.3,STOCKOUT_RISK,801.0
S001,P0001,Toys,East,223,139.42631578947368,171.87,311.3,639.58,1.6,STOCKOUT_RISK,728.0
S001,P0001,Toys,East,223,165.54833333333332,208.14,373.69,645.2,1.3,STOCKOUT_RISK,796.0
S001,P0001,Toys,East,223,144.27864864864867,174.66,318.94,603.59,1.5,STOCKOUT_RISK,700.0
S001,P0001,Toys,East,223,118.06585365853658,180.95,299.02,560.05,1.9,STOCKOUT_RISK,636.0
S001,P0001,Toys,East,223,176.0689189189189,190.48,366.55,667.86,1.3,STOCKOUT_RISK,811.0
S001,P0001,Toys,East,223,138.88025,168.85,307.73,621.89,1.6,STOCKOUT_RISK,707.0
S001,P0001,Toys,East,223,144.16782608695652,175.79,319.96,601.96,1.5,STOCKOUT_RISK,699.0
S001,P0002,Furniture,West,217,143.58135135135134,185.91,329.49,645.08,1.5,STOCKOUT_RISK,758.0
S001,P0002,Furniture,West,217,147.8824,217.1,364.98,617.15,1.5,STOCKOUT_RISK,765.0
S001,P0002,Furniture,West,217,96.97027777777777,144.57,241.54,525.62,2.2,STOCKOUT_RISK,550.0
S001,P0002,Furniture,West,217,163.32651162790697,167.56,330.89,666.48,1.3,STOCKOUT_RISK,780.0
S001,P0002,Furniture,West,217,151.06666666666666,167.25,318.32,630.82,1.4,STOCKOUT_RISK,732.0
S001,P0002,Furniture,West,217,112.833125,156.6,269.43,521.12,1.9,STOCKOUT_RISK,574.0
S001,P0002,Furniture,West,217,106.94543478260869,149.54,256.49,531.73,2.0,STOCKOUT_RISK,571.0
S001,P0002,Furniture,West,217,159.33878787878788,201.06,360.4,655.32,1.4,STOCKOUT_RISK,799.0
S001,P0002,Furniture,West,217,129.15375,157.95,287.1,574.62,1.7,STOCKOUT_RISK,645.0
S001,P0002,Furniture,West,217,136.83666666666664,176.37,313.21,578.81,1.6,STOCKOUT_RISK,675.0
S001,P0002,Furniture,West,217,134.46558823529412,172.72,307.19,617.88,1.6,STOCKOUT_RISK,708.0
S001,P0002,Furniture,West,217,149.64513513513512,193.67,343.32,598.91,1.5,STOCKOUT_RISK,725.0
S001,P0002,Furniture,West,217,138.72515151515154,184.59,323.32,585.05,1.6,STOCKOUT_RISK,691.0
S001,P0002,Furniture,West,217,127.360625,178.93,306.29,610.56,1.7,STOCKOUT_RISK,700.0
S001,P0002,Furniture,West,217,142.92795454545455,165.73,308.66,615.6,1.5,STOCKOUT_RISK,707.0
S001,P0002,Furniture,West,217,147.41368421052633,164.7,312.11,625.41,1.5,STOCKOUT_RISK,721.0
S001,P0002,Furniture,West,217,118.64368421052632,120.09,238.73,565.57,1.8,STOCKOUT_RISK,587.0
S001,P0002,Furniture,West,217,147.128,187.32,334.45,606.54,1.5,STOCKOUT_RISK,724.0
S001,P0002,Furniture,West,217,116.07222222222224,133.14,249.21,559.76,1.9,STOCKOUT_RISK,592.0
S001,P0002,Furniture,West,217,160.56916666666666,146.11,306.68,637.08,1.4,STOCKOUT_RISK,727.0
S001,P0003,Toys,East,69,143.23488372093024,190.51,333.74,648.22,0.5,STOCKOUT_RISK,913.0
S001,P0003,Toys,East,69,167.62342105263158,186.51,354.13,674.93,0.4,STOCKOUT_RISK,960.0
S001,P0003,Toys,East,69,120.4055,154.16,274.57,543.66,0.6,STOCKOUT_RISK,749.0
S001,P0003,Toys,East,69,115.8225806451613,120.85,236.67,543.76,0.6,STOCKOUT_RISK,711.0
S001,P0003,Toys,East,69,149.106,182.13,331.24,642.17,0.5,STOCKOUT_RISK,904.0
S001,P0003,Toys,East,69,107.2192,137.14,244.36,593.93,0.6,STOCKOUT_RISK,769.0
S001,P0003,Toys,East,69,149.5757894736842,181.71,331.29,631.22,0.5,STOCKOUT_RISK,894.0
S001,P0003,Toys,East,69,154.5425,152.43,306.97,616.59,0.4,STOCKOUT_RISK,855.0
S001,P0003,Toys,East,69,160.7087878787879,194.17,354.88,661.12,0.4,STOCKOUT_RISK,947.0
S001,P0003,Toys,East,69,166.03341463414634,172.44,338.47,649.99,0.4,STOCKOUT_RISK,919.0
S001,P0003,Toys,East,69,154.03441860465117,171.61,325.64,644.83,0.4,STOCKOUT_RISK,901.0
S001,P0003,Toys,East,69,151.04823529411766,177.0,328.05,631.52,0.5,STOCKOUT_RISK,891.0
S001,P0003,Toys,East,69,143.93,198.27,342.2,624.32,0.5,STOCKOUT_RISK,898.0
S001,P0003,Toys,East,69,143.13777777777779,206.99,350.13,621.65,0.5,STOCKOUT_RISK,903.0
S001,P0003,Toys,East,69,134.2161111111111,186.24,320.46,609.42,0.5,STOCKOUT_RISK,861.0
S001,P0003,Toys,East,69,154.7028947368421,169.15,323.85,634.46,0.4,STOCKOUT_RISK,889.0
S001,P0003,Toys,East,69,150.83531250000001,166.39,317.23,658.39,0.5,STOCKOUT_RISK,907.0
S001,P0003,Toys,East,69,146.90533333333332,169.31,316.22,600.27,0.5,STOCKOUT_RISK,847.0
S001,P0003,Toys,East,69,138.41416666666666,155.01,293.42,627.72,0.5,STOCKOUT_RISK,852.0
S001,P0003,Toys,East,69,165.9640625,221.32,387.28,680.37,0.4,STOCKOUT_RISK,999.0
S001,P0004,Groceries,West,338,145.4395,181.04,326.48,653.5,2.3,OPTIMAL,0.0
S001,P0004,Groceries,West,338,129.27633333333333,186.04,315.32,599.62,2.6,OPTIMAL,0.0
S001,P0004,Groceries,West,338,143.065,164.71,307.77,624.37,2.4,OPTIMAL,0.0
S001,P0004,Groceries,West,338,172.69290322580645,230.39,403.08,652.13,2.0,STOCKOUT_RISK,717.0
S001,P0004,Groceries,West,338,150.20823529411766,188.75,338.96,627.43,2.3,STOCKOUT_RISK,628.0
S001,P0004,Groceries,West,338,116.57125,156.58,273.15,514.05,2.9,OPTIMAL,0.0
S001,P0004,Groceries,West,338,135.83475,189.15,324.98,590.9,2.5,OPTIMAL,0.0
S001,P0004,Groceries,West,338,139.75836734693877,203.1,342.86,592.81,2.4,STOCKOUT_RISK,598.0
S001,P0004,Groceries,West,338,138.13029411764705,168.4,306.53,633.38,2.4,OPTIMAL,0.0
S001,P0004,Groceries,West,338,145.8790909090909,196.94,342.82,631.51,2.3,STOCKOUT_RISK,636.0
S001,P0004,Groceries,West,338,171.03760869565215,222.05,393.09,637.06,2.0,STOCKOUT_RISK,692.0
S001,P0004,Groceries,West,338,169.16,174.02,343.18,691.6,2.0,STOCKOUT_RISK,697.0
S001,P0004,Groceries,West,338,133.95605263157896,155.05,289.01,619.13,2.5,OPTIMAL,0.0
